Model,Algorithm,Rank,Feature,Importance
Model 3,XGBoost,9,TradingTurnover_cur,0.017200136557221413
Model 3,XGBoost,10,SOX_QoQ_Lag3,0.01716695912182331
Model 3,XGBoost,11,VIX_QoQ,0.016959650442004204
Model 3,XGBoost,12,DJIA_QoQ_Lag2,0.016899727284908295
Model 3,XGBoost,13,TradingVolume_cur,0.016375510022044182
Model 3,XGBoost,14,TradingMoney_cur,0.015950370579957962
Model 3,XGBoost,15,SOX_QoQ,0.01593085750937462
Model 3,XGBoost,16,OverallIndex_last1,0.01576649583876133
Model 3,XGBoost,17,EPS_last1,0.015758568421006203
Model 3,XGBoost,18,FnG_QoQ_Lag2,0.015701645985245705
Model 3,XGBoost,19,QuarterlyVolatility_Lag2,0.015407095663249493
Model 3,XGBoost,20,ROE_last1,0.015200533904135227
Model 4,XGBoost,1,QuarterlyVolatility_Lag1,0.3756745159626007
Model 4,XGBoost,2,SP500_YoY_Lag2,0.040367987006902695
Model 4,XGBoost,3,DJIA_YoY_Lag1,0.033934593200683594
Model 4,XGBoost,4,OverallIndex_last1,0.026209751144051552
Model 4,XGBoost,5,DJIA_YoY_Lag2,0.024003256112337112
Model 4,XGBoost,6,SP500_YoY,0.023561468347907066
Model 4,XGBoost,7,IXIC_YoY,0.02221246249973774
Model 4,XGBoost,8,DJIA_YoY_Lag3,0.020855236798524857
Model 4,XGBoost,9,SOX_YoY_Lag2,0.020066602155566216
Model 4,XGBoost,10,RediscountRate_last1,0.019649121910333633
Model 4,XGBoost,11,Last3mCumulativeRevenue_last1,0.019624784588813782
Model 4,XGBoost,12,DJIA_YoY,0.019158754497766495
Model 4,XGBoost,13,TradingTurnover_cur,0.018157443031668663
Model 4,XGBoost,14,QuarterlyVolatility_Lag3,0.01813558302819729
Model 4,XGBoost,15,FnG_YoY_Lag1,0.017606133595108986
Model 4,XGBoost,16,FnG_YoY,0.016827292740345
Model 4,XGBoost,17,Spread_cur,0.016285382211208344
Model 4,XGBoost,18,IXIC_YoY_Lag3,0.016190415248274803
Model 4,XGBoost,19,ROA_last1,0.015759842470288277
Model 4,XGBoost,20,TradingVolume_cur,0.015437171794474125
