Model,Rank,Feature,Importance,Cumulative_Importance
"RF Model1 (max_depth = 5, max_features = sqrt, min_samples_leaf = 5, n_estimators = 500 - 2017Q1 to 2026Q4)",16,ROA_last1,0.012184281183885282,0.8481824550937268
"RF Model1 (max_depth = 5, max_features = sqrt, min_samples_leaf = 5, n_estimators = 500 - 2017Q1 to 2026Q4)",17,QuarterlyReturn_Lag3,0.011610115853297177,0.859792570947024
"RF Model1 (max_depth = 5, max_features = sqrt, min_samples_leaf = 5, n_estimators = 500 - 2017Q1 to 2026Q4)",18,VIX_QoQ_Lag1,0.010304165583273796,0.8700967365302978
"RF Model1 (max_depth = 5, max_features = sqrt, min_samples_leaf = 5, n_estimators = 500 - 2017Q1 to 2026Q4)",19,Last3mCumulativeRevenueGrowthRate_last1,0.010057541255542805,0.8801542777858407
"RF Model1 (max_depth = 5, max_features = sqrt, min_samples_leaf = 5, n_estimators = 500 - 2017Q1 to 2026Q4)",20,VIX_QoQ_Lag3,0.00859759853519202,0.8887518763210327
"RF Model1 (max_depth = 5, max_features = sqrt, min_samples_leaf = 10, n_estimators = 100 - 2017Q1 to 2026Q4)",1,Spread_cur,0.3617147383408745,0.3617147383408745
"RF Model1 (max_depth = 5, max_features = sqrt, min_samples_leaf = 10, n_estimators = 100 - 2017Q1 to 2026Q4)",2,TradingTurnover_cur,0.07701578453767759,0.4387305228785521
"RF Model1 (max_depth = 5, max_features = sqrt, min_samples_leaf = 10, n_estimators = 100 - 2017Q1 to 2026Q4)",3,TradingVolume_cur,0.06799619931451122,0.5067267221930633
"RF Model1 (max_depth = 5, max_features = sqrt, min_samples_leaf = 10, n_estimators = 100 - 2017Q1 to 2026Q4)",4,TradingMoney_cur,0.06296606291967932,0.5696927851127426
"RF Model1 (max_depth = 5, max_features = sqrt, min_samples_leaf = 10, n_estimators = 100 - 2017Q1 to 2026Q4)",5,SOX_QoQ,0.049588916822312,0.6192817019350546
"RF Model1 (max_depth = 5, max_features = sqrt, min_samples_leaf = 10, n_estimators = 100 - 2017Q1 to 2026Q4)",6,QuarterlyReturn_Lag1,0.04045187837837635,0.659733580313431
"RF Model1 (max_depth = 5, max_features = sqrt, min_samples_leaf = 10, n_estimators = 100 - 2017Q1 to 2026Q4)",7,VIX_QoQ,0.03958964805767263,0.6993232283711036
"RF Model1 (max_depth = 5, max_features = sqrt, min_samples_leaf = 10, n_estimators = 100 - 2017Q1 to 2026Q4)",8,Last3mCumulativeRevenue_last1,0.024125773839064953,0.7234490022101686
"RF Model1 (max_depth = 5, max_features = sqrt, min_samples_leaf = 10, n_estimators = 100 - 2017Q1 to 2026Q4)",9,IXIC_QoQ,0.023349586088263305,0.7467985882984319
"RF Model1 (max_depth = 5, max_features = sqrt, min_samples_leaf = 10, n_estimators = 100 - 2017Q1 to 2026Q4)",10,DJIA_QoQ,0.02155118129392654,0.7683497695923585
"RF Model1 (max_depth = 5, max_features = sqrt, min_samples_leaf = 10, n_estimators = 100 - 2017Q1 to 2026Q4)",11,SP500_QoQ,0.019161743477396503,0.787511513069755
"RF Model1 (max_depth = 5, max_features = sqrt, min_samples_leaf = 10, n_estimators = 100 - 2017Q1 to 2026Q4)",12,EPS_last1,0.01451871351720506,0.80203022658696
"RF Model1 (max_depth = 5, max_features = sqrt, min_samples_leaf = 10, n_estimators = 100 - 2017Q1 to 2026Q4)",13,VIX_QoQ_Lag1,0.012909078801636399,0.8149393053885964
"RF Model1 (max_depth = 5, max_features = sqrt, min_samples_leaf = 10, n_estimators = 100 - 2017Q1 to 2026Q4)",14,IXIC_QoQ_Lag3,0.012195123410169015,0.8271344287987654
"RF Model1 (max_depth = 5, max_features = sqrt, min_samples_leaf = 10, n_estimators = 100 - 2017Q1 to 2026Q4)",15,VIX_QoQ_Lag2,0.011348852509203379,0.8384832813079688
"RF Model1 (max_depth = 5, max_features = sqrt, min_samples_leaf = 10, n_estimators = 100 - 2017Q1 to 2026Q4)",16,FnG_QoQ_Lag2,0.011157638017190207,0.849640919325159
"RF Model1 (max_depth = 5, max_features = sqrt, min_samples_leaf = 10, n_estimators = 100 - 2017Q1 to 2026Q4)",17,Last3mCumulativeRevenueGrowthRate_last1,0.011069537762222071,0.860710457087381
"RF Model1 (max_depth = 5, max_features = sqrt, min_samples_leaf = 10, n_estimators = 100 - 2017Q1 to 2026Q4)",18,ROA_last1,0.00982732296345211,0.8705377800508332
"RF Model1 (max_depth = 5, max_features = sqrt, min_samples_leaf = 10, n_estimators = 100 - 2017Q1 to 2026Q4)",19,TotalUnempPct_QoQ_last1,0.009699759548593527,0.8802375395994266
"RF Model1 (max_depth = 5, max_features = sqrt, min_samples_leaf = 10, n_estimators = 100 - 2017Q1 to 2026Q4)",20,ROE_last1,0.009679876600223689,0.8899174161996504
"RF Model1 (max_depth = 5, max_features = sqrt, min_samples_leaf = 10, n_estimators = 300 - 2017Q1 to 2026Q4)",1,Spread_cur,0.35933371605015973,0.35933371605015973
"RF Model1 (max_depth = 5, max_features = sqrt, min_samples_leaf = 10, n_estimators = 300 - 2017Q1 to 2026Q4)",2,TradingTurnover_cur,0.0731067797709729,0.43244049582113264
"RF Model1 (max_depth = 5, max_features = sqrt, min_samples_leaf = 10, n_estimators = 300 - 2017Q1 to 2026Q4)",3,TradingVolume_cur,0.06576642475396213,0.49820692057509475
"RF Model1 (max_depth = 5, max_features = sqrt, min_samples_leaf = 10, n_estimators = 300 - 2017Q1 to 2026Q4)",4,TradingMoney_cur,0.0653746470986587,0.5635815676737534
"RF Model1 (max_depth = 5, max_features = sqrt, min_samples_leaf = 10, n_estimators = 300 - 2017Q1 to 2026Q4)",5,QuarterlyReturn_Lag1,0.05280312432929188,0.6163846920030454
"RF Model1 (max_depth = 5, max_features = sqrt, min_samples_leaf = 10, n_estimators = 300 - 2017Q1 to 2026Q4)",6,SOX_QoQ,0.04981940825363708,0.6662041002566824
"RF Model1 (max_depth = 5, max_features = sqrt, min_samples_leaf = 10, n_estimators = 300 - 2017Q1 to 2026Q4)",7,VIX_QoQ,0.03676784548539582,0.7029719457420782
"RF Model1 (max_depth = 5, max_features = sqrt, min_samples_leaf = 10, n_estimators = 300 - 2017Q1 to 2026Q4)",8,SP500_QoQ,0.025928926560203885,0.7289008723022821
