Model,Dataset,MSE,MAE,R-Squared,Adj-R-Squared
"RF Model1 (max_depth = 10, max_features = sqrt, min_samples_leaf = 10, n_estimators = 100 - 2017Q1 to 2026Q4)",Holdout_Set,0.018936,0.090453,0.381377,0.373106
"RF Model1 (max_depth = 10, max_features = sqrt, min_samples_leaf = 10, n_estimators = 300 - 2017Q1 to 2026Q4)",Training_Set,0.020665,0.075023,0.462250,0.461278
"RF Model1 (max_depth = 10, max_features = sqrt, min_samples_leaf = 10, n_estimators = 300 - 2017Q1 to 2026Q4)",Holdout_Set,0.019131,0.091118,0.374998,0.366642
"RF Model1 (max_depth = 10, max_features = sqrt, min_samples_leaf = 10, n_estimators = 500 - 2017Q1 to 2026Q4)",Training_Set,0.020678,0.075038,0.461900,0.460928
"RF Model1 (max_depth = 10, max_features = sqrt, min_samples_leaf = 10, n_estimators = 500 - 2017Q1 to 2026Q4)",Holdout_Set,0.019281,0.091585,0.370125,0.361703
"RF Model1 (max_depth = 10, max_features = sqrt, min_samples_leaf = 20, n_estimators = 100 - 2017Q1 to 2026Q4)",Training_Set,0.021910,0.076399,0.429840,0.428810
"RF Model1 (max_depth = 10, max_features = sqrt, min_samples_leaf = 20, n_estimators = 100 - 2017Q1 to 2026Q4)",Holdout_Set,0.019360,0.091372,0.367526,0.359070
"RF Model1 (max_depth = 10, max_features = sqrt, min_samples_leaf = 20, n_estimators = 300 - 2017Q1 to 2026Q4)",Training_Set,0.022057,0.076482,0.426012,0.424975
"RF Model1 (max_depth = 10, max_features = sqrt, min_samples_leaf = 20, n_estimators = 300 - 2017Q1 to 2026Q4)",Holdout_Set,0.019440,0.091268,0.364928,0.356437
"RF Model1 (max_depth = 10, max_features = sqrt, min_samples_leaf = 20, n_estimators = 500 - 2017Q1 to 2026Q4)",Training_Set,0.022047,0.076401,0.426271,0.425234
"RF Model1 (max_depth = 10, max_features = sqrt, min_samples_leaf = 20, n_estimators = 500 - 2017Q1 to 2026Q4)",Holdout_Set,0.019388,0.091172,0.366607,0.358138
"RF Model1 (max_depth = 10, max_features = log2, min_samples_leaf = 5, n_estimators = 100 - 2017Q1 to 2026Q4)",Training_Set,0.019879,0.076244,0.482701,0.481766
"RF Model1 (max_depth = 10, max_features = log2, min_samples_leaf = 5, n_estimators = 100 - 2017Q1 to 2026Q4)",Holdout_Set,0.020510,0.093644,0.329954,0.320996
"RF Model1 (max_depth = 10, max_features = log2, min_samples_leaf = 5, n_estimators = 300 - 2017Q1 to 2026Q4)",Training_Set,0.019968,0.076070,0.480385,0.479446
"RF Model1 (max_depth = 10, max_features = log2, min_samples_leaf = 5, n_estimators = 300 - 2017Q1 to 2026Q4)",Holdout_Set,0.020363,0.093183,0.334769,0.325874
"RF Model1 (max_depth = 10, max_features = log2, min_samples_leaf = 5, n_estimators = 500 - 2017Q1 to 2026Q4)",Training_Set,0.019989,0.075973,0.479836,0.478897
"RF Model1 (max_depth = 10, max_features = log2, min_samples_leaf = 5, n_estimators = 500 - 2017Q1 to 2026Q4)",Holdout_Set,0.020229,0.092960,0.339155,0.330319
"RF Model1 (max_depth = 10, max_features = log2, min_samples_leaf = 10, n_estimators = 100 - 2017Q1 to 2026Q4)",Training_Set,0.021412,0.076984,0.442802,0.441796
"RF Model1 (max_depth = 10, max_features = log2, min_samples_leaf = 10, n_estimators = 100 - 2017Q1 to 2026Q4)",Holdout_Set,0.020438,0.093167,0.332302,0.323375
"RF Model1 (max_depth = 10, max_features = log2, min_samples_leaf = 10, n_estimators = 300 - 2017Q1 to 2026Q4)",Training_Set,0.021615,0.077131,0.437505,0.436489
"RF Model1 (max_depth = 10, max_features = log2, min_samples_leaf = 10, n_estimators = 300 - 2017Q1 to 2026Q4)",Holdout_Set,0.020225,0.092945,0.339279,0.330445
"RF Model1 (max_depth = 10, max_features = log2, min_samples_leaf = 10, n_estimators = 500 - 2017Q1 to 2026Q4)",Training_Set,0.021691,0.077147,0.435539,0.434520
