Model,Dataset,MSE,MAE,R-Squared,Adj-R-Squared
"XGB Model2 (learning_rate = 0.1, max_depth = 5, n_estimators = 500) - 2017Q1 to 2026Q4)",Training_Set,0.004849,0.050199,0.874962,0.874716
"XGB Model2 (learning_rate = 0.1, max_depth = 5, n_estimators = 500) - 2017Q1 to 2026Q4)",Holdout_Set,0.023457,0.092776,0.233676,0.222842
"XGB Model2 (learning_rate = 0.1, max_depth = 7, n_estimators = 100) - 2017Q1 to 2026Q4)",Training_Set,0.006233,0.055661,0.839267,0.838951
"XGB Model2 (learning_rate = 0.1, max_depth = 7, n_estimators = 100) - 2017Q1 to 2026Q4)",Holdout_Set,0.023922,0.092365,0.218509,0.207461
"XGB Model2 (learning_rate = 0.1, max_depth = 7, n_estimators = 300) - 2017Q1 to 2026Q4)",Training_Set,0.002828,0.039109,0.927063,0.926920
"XGB Model2 (learning_rate = 0.1, max_depth = 7, n_estimators = 300) - 2017Q1 to 2026Q4)",Holdout_Set,0.024336,0.092881,0.204977,0.193738
"XGB Model2 (learning_rate = 0.1, max_depth = 7, n_estimators = 500) - 2017Q1 to 2026Q4)",Training_Set,0.001482,0.028447,0.961791,0.961716
"XGB Model2 (learning_rate = 0.1, max_depth = 7, n_estimators = 500) - 2017Q1 to 2026Q4)",Holdout_Set,0.024504,0.093356,0.199477,0.188160
KNN Model2 - 2017Q1 to 2026Q4,Training_Set,0.000000,0.000000,1.000000,1.000000
KNN Model2 - 2017Q1 to 2026Q4,Holdout_Set,0.024652,0.099853,0.194649,0.183263
OLS Model2 - 2017Q1 to 2026Q4,Training_Set,0.027823,0.092316,0.282500,0.281089
OLS Model2 - 2017Q1 to 2026Q4,Holdout_Set,0.030419,0.130335,0.006259,-0.007791
Lasso Model2 - 2017Q1 to 2026Q4,Training_Set,0.029117,0.094545,0.249147,0.247670
Lasso Model2 - 2017Q1 to 2026Q4,Holdout_Set,0.024640,0.109573,0.195028,0.183648
Ridge Model2 - 2017Q1 to 2026Q4,Training_Set,0.027823,0.092315,0.282499,0.281088
Ridge Model2 - 2017Q1 to 2026Q4,Holdout_Set,0.030366,0.130244,0.007969,-0.006056
"RF Model3 (max_depth = 5, max_features = sqrt, min_samples_leaf = 5, n_estimators = 100 - 2017Q1 to 2026Q4)",Training_Set,0.003335,0.038493,0.542840,0.542005
"RF Model3 (max_depth = 5, max_features = sqrt, min_samples_leaf = 5, n_estimators = 100 - 2017Q1 to 2026Q4)",Holdout_Set,0.004881,0.043881,0.453378,0.445969
"RF Model3 (max_depth = 5, max_features = sqrt, min_samples_leaf = 5, n_estimators = 300 - 2017Q1 to 2026Q4)",Training_Set,0.003284,0.037938,0.549763,0.548940
"RF Model3 (max_depth = 5, max_features = sqrt, min_samples_leaf = 5, n_estimators = 300 - 2017Q1 to 2026Q4)",Holdout_Set,0.004791,0.043242,0.463455,0.456182
"RF Model3 (max_depth = 5, max_features = sqrt, min_samples_leaf = 5, n_estimators = 500 - 2017Q1 to 2026Q4)",Training_Set,0.003272,0.037728,0.551418,0.550598
"RF Model3 (max_depth = 5, max_features = sqrt, min_samples_leaf = 5, n_estimators = 500 - 2017Q1 to 2026Q4)",Holdout_Set,0.004765,0.042976,0.466471,0.459239
"RF Model3 (max_depth = 5, max_features = sqrt, min_samples_leaf = 10, n_estimators = 100 - 2017Q1 to 2026Q4)",Training_Set,0.003378,0.038557,0.536933,0.536086
"RF Model3 (max_depth = 5, max_features = sqrt, min_samples_leaf = 10, n_estimators = 100 - 2017Q1 to 2026Q4)",Holdout_Set,0.004901,0.043796,0.451189,0.443750
"RF Model3 (max_depth = 5, max_features = sqrt, min_samples_leaf = 10, n_estimators = 300 - 2017Q1 to 2026Q4)",Training_Set,0.003308,0.037950,0.546473,0.545644
"RF Model3 (max_depth = 5, max_features = sqrt, min_samples_leaf = 10, n_estimators = 300 - 2017Q1 to 2026Q4)",Holdout_Set,0.004811,0.043244,0.461288,0.453985
"RF Model3 (max_depth = 5, max_features = sqrt, min_samples_leaf = 10, n_estimators = 500 - 2017Q1 to 2026Q4)",Training_Set,0.003293,0.037748,0.548517,0.547692
"RF Model3 (max_depth = 5, max_features = sqrt, min_samples_leaf = 10, n_estimators = 500 - 2017Q1 to 2026Q4)",Holdout_Set,0.004783,0.043022,0.464423,0.457163
"RF Model3 (max_depth = 5, max_features = sqrt, min_samples_leaf = 20, n_estimators = 100 - 2017Q1 to 2026Q4)",Training_Set,0.003383,0.038422,0.536190,0.535342
"RF Model3 (max_depth = 5, max_features = sqrt, min_samples_leaf = 20, n_estimators = 100 - 2017Q1 to 2026Q4)",Holdout_Set,0.004871,0.043599,0.454513,0.447119
"RF Model3 (max_depth = 5, max_features = sqrt, min_samples_leaf = 20, n_estimators = 300 - 2017Q1 to 2026Q4)",Training_Set,0.003330,0.037919,0.543469,0.542635
"RF Model3 (max_depth = 5, max_features = sqrt, min_samples_leaf = 20, n_estimators = 300 - 2017Q1 to 2026Q4)",Holdout_Set,0.004793,0.043076,0.463328,0.456053
"RF Model3 (max_depth = 5, max_features = sqrt, min_samples_leaf = 20, n_estimators = 500 - 2017Q1 to 2026Q4)",Training_Set,0.003318,0.037769,0.545116,0.544285
"RF Model3 (max_depth = 5, max_features = sqrt, min_samples_leaf = 20, n_estimators = 500 - 2017Q1 to 2026Q4)",Holdout_Set,0.004768,0.042917,0.466054,0.458816
"RF Model3 (max_depth = 5, max_features = log2, min_samples_leaf = 5, n_estimators = 100 - 2017Q1 to 2026Q4)",Training_Set,0.003828,0.041017,0.475250,0.474291
"RF Model3 (max_depth = 5, max_features = log2, min_samples_leaf = 5, n_estimators = 100 - 2017Q1 to 2026Q4)",Holdout_Set,0.005397,0.046291,0.395663,0.387471
"RF Model3 (max_depth = 5, max_features = log2, min_samples_leaf = 5, n_estimators = 300 - 2017Q1 to 2026Q4)",Training_Set,0.003703,0.040378,0.492306,0.491378
"RF Model3 (max_depth = 5, max_features = log2, min_samples_leaf = 5, n_estimators = 300 - 2017Q1 to 2026Q4)",Holdout_Set,0.005271,0.045612,0.409730,0.401728
"RF Model3 (max_depth = 5, max_features = log2, min_samples_leaf = 5, n_estimators = 500 - 2017Q1 to 2026Q4)",Training_Set,0.003719,0.040512,0.490101,0.489169
"RF Model3 (max_depth = 5, max_features = log2, min_samples_leaf = 5, n_estimators = 500 - 2017Q1 to 2026Q4)",Holdout_Set,0.005329,0.045963,0.403260,0.395171
"RF Model3 (max_depth = 5, max_features = log2, min_samples_leaf = 10, n_estimators = 100 - 2017Q1 to 2026Q4)",Training_Set,0.003778,0.040684,0.482081,0.481134
"RF Model3 (max_depth = 5, max_features = log2, min_samples_leaf = 10, n_estimators = 100 - 2017Q1 to 2026Q4)",Holdout_Set,0.005347,0.046086,0.401287,0.393171
"RF Model3 (max_depth = 5, max_features = log2, min_samples_leaf = 10, n_estimators = 300 - 2017Q1 to 2026Q4)",Training_Set,0.003698,0.040222,0.493087,0.492161
"RF Model3 (max_depth = 5, max_features = log2, min_samples_leaf = 10, n_estimators = 300 - 2017Q1 to 2026Q4)",Holdout_Set,0.005250,0.045502,0.412122,0.404154
"RF Model3 (max_depth = 5, max_features = log2, min_samples_leaf = 10, n_estimators = 500 - 2017Q1 to 2026Q4)",Training_Set,0.003703,0.040283,0.492428,0.491500
"RF Model3 (max_depth = 5, max_features = log2, min_samples_leaf = 10, n_estimators = 500 - 2017Q1 to 2026Q4)",Holdout_Set,0.005288,0.045692,0.407891,0.399865
"RF Model3 (max_depth = 5, max_features = log2, min_samples_leaf = 20, n_estimators = 100 - 2017Q1 to 2026Q4)",Training_Set,0.003833,0.040806,0.474523,0.473562
"RF Model3 (max_depth = 5, max_features = log2, min_samples_leaf = 20, n_estimators = 100 - 2017Q1 to 2026Q4)",Holdout_Set,0.005376,0.045936,0.398042,0.389883
"RF Model3 (max_depth = 5, max_features = log2, min_samples_leaf = 20, n_estimators = 300 - 2017Q1 to 2026Q4)",Training_Set,0.003758,0.040454,0.484782,0.483840
"RF Model3 (max_depth = 5, max_features = log2, min_samples_leaf = 20, n_estimators = 300 - 2017Q1 to 2026Q4)",Holdout_Set,0.005302,0.045660,0.406236,0.398187
"RF Model3 (max_depth = 5, max_features = log2, min_samples_leaf = 20, n_estimators = 500 - 2017Q1 to 2026Q4)",Training_Set,0.003740,0.040385,0.487321,0.486384
"RF Model3 (max_depth = 5, max_features = log2, min_samples_leaf = 20, n_estimators = 500 - 2017Q1 to 2026Q4)",Holdout_Set,0.005285,0.045651,0.408203,0.400181
"RF Model3 (max_depth = 10, max_features = sqrt, min_samples_leaf = 5, n_estimators = 100 - 2017Q1 to 2026Q4)",Training_Set,0.001983,0.029048,0.728117,0.727620
"RF Model3 (max_depth = 10, max_features = sqrt, min_samples_leaf = 5, n_estimators = 100 - 2017Q1 to 2026Q4)",Holdout_Set,0.003799,0.036861,0.574604,0.568838
"RF Model3 (max_depth = 10, max_features = sqrt, min_samples_leaf = 5, n_estimators = 300 - 2017Q1 to 2026Q4)",Training_Set,0.001970,0.028960,0.729919,0.729426
"RF Model3 (max_depth = 10, max_features = sqrt, min_samples_leaf = 5, n_estimators = 300 - 2017Q1 to 2026Q4)",Holdout_Set,0.003771,0.036712,0.577715,0.571991
"RF Model3 (max_depth = 10, max_features = sqrt, min_samples_leaf = 5, n_estimators = 500 - 2017Q1 to 2026Q4)",Training_Set,0.001965,0.028918,0.730676,0.730183
"RF Model3 (max_depth = 10, max_features = sqrt, min_samples_leaf = 5, n_estimators = 500 - 2017Q1 to 2026Q4)",Holdout_Set,0.003776,0.036736,0.577109,0.571377
"RF Model3 (max_depth = 10, max_features = sqrt, min_samples_leaf = 10, n_estimators = 100 - 2017Q1 to 2026Q4)",Training_Set,0.002168,0.029720,0.702752,0.702209
"RF Model3 (max_depth = 10, max_features = sqrt, min_samples_leaf = 10, n_estimators = 100 - 2017Q1 to 2026Q4)",Holdout_Set,0.003851,0.036866,0.568767,0.562921
"RF Model3 (max_depth = 10, max_features = sqrt, min_samples_leaf = 10, n_estimators = 300 - 2017Q1 to 2026Q4)",Training_Set,0.002145,0.029468,0.705950,0.705413
"RF Model3 (max_depth = 10, max_features = sqrt, min_samples_leaf = 10, n_estimators = 300 - 2017Q1 to 2026Q4)",Holdout_Set,0.003811,0.036691,0.573227,0.567442
"RF Model3 (max_depth = 10, max_features = sqrt, min_samples_leaf = 10, n_estimators = 500 - 2017Q1 to 2026Q4)",Training_Set,0.002146,0.029431,0.705846,0.705308
"RF Model3 (max_depth = 10, max_features = sqrt, min_samples_leaf = 10, n_estimators = 500 - 2017Q1 to 2026Q4)",Holdout_Set,0.003821,0.036713,0.572120,0.566320
"RF Model3 (max_depth = 10, max_features = sqrt, min_samples_leaf = 20, n_estimators = 100 - 2017Q1 to 2026Q4)",Training_Set,0.002356,0.030390,0.677022,0.676431
"RF Model3 (max_depth = 10, max_features = sqrt, min_samples_leaf = 20, n_estimators = 100 - 2017Q1 to 2026Q4)",Holdout_Set,0.003915,0.037122,0.561560,0.555617
"RF Model3 (max_depth = 10, max_features = sqrt, min_samples_leaf = 20, n_estimators = 300 - 2017Q1 to 2026Q4)",Training_Set,0.002337,0.030227,0.679659,0.679074
"RF Model3 (max_depth = 10, max_features = sqrt, min_samples_leaf = 20, n_estimators = 300 - 2017Q1 to 2026Q4)",Holdout_Set,0.003892,0.036981,0.564155,0.558247
"RF Model3 (max_depth = 10, max_features = sqrt, min_samples_leaf = 20, n_estimators = 500 - 2017Q1 to 2026Q4)",Training_Set,0.002341,0.030205,0.679140,0.678554
"RF Model3 (max_depth = 10, max_features = sqrt, min_samples_leaf = 20, n_estimators = 500 - 2017Q1 to 2026Q4)",Holdout_Set,0.003901,0.036978,0.563206,0.557285
"RF Model3 (max_depth = 10, max_features = log2, min_samples_leaf = 5, n_estimators = 100 - 2017Q1 to 2026Q4)",Training_Set,0.002288,0.031395,0.686357,0.685783
"RF Model3 (max_depth = 10, max_features = log2, min_samples_leaf = 5, n_estimators = 100 - 2017Q1 to 2026Q4)",Holdout_Set,0.004189,0.039314,0.530909,0.524551
"RF Model3 (max_depth = 10, max_features = log2, min_samples_leaf = 5, n_estimators = 300 - 2017Q1 to 2026Q4)",Training_Set,0.002269,0.031236,0.689010,0.688441
"RF Model3 (max_depth = 10, max_features = log2, min_samples_leaf = 5, n_estimators = 300 - 2017Q1 to 2026Q4)",Holdout_Set,0.004169,0.039172,0.533130,0.526802
"RF Model3 (max_depth = 10, max_features = log2, min_samples_leaf = 5, n_estimators = 500 - 2017Q1 to 2026Q4)",Training_Set,0.002268,0.031242,0.689059,0.688491
"RF Model3 (max_depth = 10, max_features = log2, min_samples_leaf = 5, n_estimators = 500 - 2017Q1 to 2026Q4)",Holdout_Set,0.004178,0.039236,0.532195,0.525854
"RF Model3 (max_depth = 10, max_features = log2, min_samples_leaf = 10, n_estimators = 100 - 2017Q1 to 2026Q4)",Training_Set,0.002523,0.032174,0.654122,0.653489
"RF Model3 (max_depth = 10, max_features = log2, min_samples_leaf = 10, n_estimators = 100 - 2017Q1 to 2026Q4)",Holdout_Set,0.004274,0.039491,0.521383,0.514896
"RF Model3 (max_depth = 10, max_features = log2, min_samples_leaf = 10, n_estimators = 300 - 2017Q1 to 2026Q4)",Training_Set,0.002484,0.031995,0.659537,0.658915
"RF Model3 (max_depth = 10, max_features = log2, min_samples_leaf = 10, n_estimators = 300 - 2017Q1 to 2026Q4)",Holdout_Set,0.004274,0.039492,0.521387,0.514899
"RF Model3 (max_depth = 10, max_features = log2, min_samples_leaf = 10, n_estimators = 500 - 2017Q1 to 2026Q4)",Training_Set,0.002469,0.031915,0.661480,0.660861
"RF Model3 (max_depth = 10, max_features = log2, min_samples_leaf = 10, n_estimators = 500 - 2017Q1 to 2026Q4)",Holdout_Set,0.004251,0.039373,0.523956,0.517504
"RF Model3 (max_depth = 10, max_features = log2, min_samples_leaf = 20, n_estimators = 100 - 2017Q1 to 2026Q4)",Training_Set,0.002693,0.032963,0.630824,0.630149
"RF Model3 (max_depth = 10, max_features = log2, min_samples_leaf = 20, n_estimators = 100 - 2017Q1 to 2026Q4)",Holdout_Set,0.004444,0.040302,0.502332,0.495586
"RF Model3 (max_depth = 10, max_features = log2, min_samples_leaf = 20, n_estimators = 300 - 2017Q1 to 2026Q4)",Training_Set,0.002640,0.032559,0.638123,0.637461
"RF Model3 (max_depth = 10, max_features = log2, min_samples_leaf = 20, n_estimators = 300 - 2017Q1 to 2026Q4)",Holdout_Set,0.004344,0.039752,0.513574,0.506980
"RF Model3 (max_depth = 10, max_features = log2, min_samples_leaf = 20, n_estimators = 500 - 2017Q1 to 2026Q4)",Training_Set,0.002644,0.032545,0.637570,0.636908
"RF Model3 (max_depth = 10, max_features = log2, min_samples_leaf = 20, n_estimators = 500 - 2017Q1 to 2026Q4)",Holdout_Set,0.004330,0.039647,0.515173,0.508601
"RF Model3 (max_depth = 15, max_features = sqrt, min_samples_leaf = 5, n_estimators = 100 - 2017Q1 to 2026Q4)",Training_Set,0.001438,0.023409,0.802879,0.802518
"RF Model3 (max_depth = 15, max_features = sqrt, min_samples_leaf = 5, n_estimators = 100 - 2017Q1 to 2026Q4)",Holdout_Set,0.003631,0.035402,0.593372,0.587860
"RF Model3 (max_depth = 15, max_features = sqrt, min_samples_leaf = 5, n_estimators = 300 - 2017Q1 to 2026Q4)",Training_Set,0.001424,0.023233,0.804802,0.804445
"RF Model3 (max_depth = 15, max_features = sqrt, min_samples_leaf = 5, n_estimators = 300 - 2017Q1 to 2026Q4)",Holdout_Set,0.003587,0.035139,0.598318,0.592873
"RF Model3 (max_depth = 15, max_features = sqrt, min_samples_leaf = 5, n_estimators = 500 - 2017Q1 to 2026Q4)",Training_Set,0.001430,0.023245,0.803949,0.803591
"RF Model3 (max_depth = 15, max_features = sqrt, min_samples_leaf = 5, n_estimators = 500 - 2017Q1 to 2026Q4)",Holdout_Set,0.003593,0.035087,0.597662,0.592208
"RF Model3 (max_depth = 15, max_features = sqrt, min_samples_leaf = 10, n_estimators = 100 - 2017Q1 to 2026Q4)",Training_Set,0.001836,0.026020,0.748306,0.747846
"RF Model3 (max_depth = 15, max_features = sqrt, min_samples_leaf = 10, n_estimators = 100 - 2017Q1 to 2026Q4)",Holdout_Set,0.003737,0.035763,0.581477,0.575804
"RF Model3 (max_depth = 15, max_features = sqrt, min_samples_leaf = 10, n_estimators = 300 - 2017Q1 to 2026Q4)",Training_Set,0.001818,0.025853,0.750721,0.750266
"RF Model3 (max_depth = 15, max_features = sqrt, min_samples_leaf = 10, n_estimators = 300 - 2017Q1 to 2026Q4)",Holdout_Set,0.003703,0.035572,0.585359,0.579738
"RF Model3 (max_depth = 15, max_features = sqrt, min_samples_leaf = 10, n_estimators = 500 - 2017Q1 to 2026Q4)",Training_Set,0.001819,0.025830,0.750627,0.750171
"RF Model3 (max_depth = 15, max_features = sqrt, min_samples_leaf = 10, n_estimators = 500 - 2017Q1 to 2026Q4)",Holdout_Set,0.003701,0.035548,0.585559,0.579942
"RF Model3 (max_depth = 15, max_features = sqrt, min_samples_leaf = 20, n_estimators = 100 - 2017Q1 to 2026Q4)",Training_Set,0.002216,0.028425,0.696168,0.695612
"RF Model3 (max_depth = 15, max_features = sqrt, min_samples_leaf = 20, n_estimators = 100 - 2017Q1 to 2026Q4)",Holdout_Set,0.003914,0.036524,0.561662,0.555721
"RF Model3 (max_depth = 15, max_features = sqrt, min_samples_leaf = 20, n_estimators = 300 - 2017Q1 to 2026Q4)",Training_Set,0.002172,0.028133,0.702285,0.701741
"RF Model3 (max_depth = 15, max_features = sqrt, min_samples_leaf = 20, n_estimators = 300 - 2017Q1 to 2026Q4)",Holdout_Set,0.003836,0.036144,0.570418,0.564595
"RF Model3 (max_depth = 15, max_features = sqrt, min_samples_leaf = 20, n_estimators = 500 - 2017Q1 to 2026Q4)",Training_Set,0.002167,0.028101,0.702878,0.702335
"RF Model3 (max_depth = 15, max_features = sqrt, min_samples_leaf = 20, n_estimators = 500 - 2017Q1 to 2026Q4)",Holdout_Set,0.003830,0.036109,0.571158,0.565345
"RF Model3 (max_depth = 15, max_features = log2, min_samples_leaf = 5, n_estimators = 100 - 2017Q1 to 2026Q4)",Training_Set,0.001695,0.025641,0.767590,0.767165
"RF Model3 (max_depth = 15, max_features = log2, min_samples_leaf = 5, n_estimators = 100 - 2017Q1 to 2026Q4)",Holdout_Set,0.004056,0.037930,0.545832,0.539676
"RF Model3 (max_depth = 15, max_features = log2, min_samples_leaf = 5, n_estimators = 300 - 2017Q1 to 2026Q4)",Training_Set,0.001660,0.025337,0.772463,0.772047
"RF Model3 (max_depth = 15, max_features = log2, min_samples_leaf = 5, n_estimators = 300 - 2017Q1 to 2026Q4)",Holdout_Set,0.003942,0.037255,0.558567,0.552584
"RF Model3 (max_depth = 15, max_features = log2, min_samples_leaf = 5, n_estimators = 500 - 2017Q1 to 2026Q4)",Training_Set,0.001657,0.025309,0.772891,0.772476
"RF Model3 (max_depth = 15, max_features = log2, min_samples_leaf = 5, n_estimators = 500 - 2017Q1 to 2026Q4)",Holdout_Set,0.003935,0.037210,0.559329,0.553356
"RF Model3 (max_depth = 15, max_features = log2, min_samples_leaf = 10, n_estimators = 100 - 2017Q1 to 2026Q4)",Training_Set,0.002108,0.028098,0.710993,0.710464
"RF Model3 (max_depth = 15, max_features = log2, min_samples_leaf = 10, n_estimators = 100 - 2017Q1 to 2026Q4)",Holdout_Set,0.004102,0.037900,0.540691,0.534465
"RF Model3 (max_depth = 15, max_features = log2, min_samples_leaf = 10, n_estimators = 300 - 2017Q1 to 2026Q4)",Training_Set,0.002075,0.027923,0.715547,0.715027
"RF Model3 (max_depth = 15, max_features = log2, min_samples_leaf = 10, n_estimators = 300 - 2017Q1 to 2026Q4)",Holdout_Set,0.004050,0.037756,0.546448,0.540300
"RF Model3 (max_depth = 15, max_features = log2, min_samples_leaf = 10, n_estimators = 500 - 2017Q1 to 2026Q4)",Training_Set,0.002075,0.027933,0.715477,0.714957
"RF Model3 (max_depth = 15, max_features = log2, min_samples_leaf = 10, n_estimators = 500 - 2017Q1 to 2026Q4)",Holdout_Set,0.004061,0.037783,0.545270,0.539106
"RF Model3 (max_depth = 15, max_features = log2, min_samples_leaf = 20, n_estimators = 100 - 2017Q1 to 2026Q4)",Training_Set,0.002453,0.030259,0.663764,0.663150
"RF Model3 (max_depth = 15, max_features = log2, min_samples_leaf = 20, n_estimators = 100 - 2017Q1 to 2026Q4)",Holdout_Set,0.004183,0.038109,0.531544,0.525194
"RF Model3 (max_depth = 15, max_features = log2, min_samples_leaf = 20, n_estimators = 300 - 2017Q1 to 2026Q4)",Training_Set,0.002435,0.030185,0.666233,0.665623
"RF Model3 (max_depth = 15, max_features = log2, min_samples_leaf = 20, n_estimators = 300 - 2017Q1 to 2026Q4)",Holdout_Set,0.004169,0.038167,0.533189,0.526862
"RF Model3 (max_depth = 15, max_features = log2, min_samples_leaf = 20, n_estimators = 500 - 2017Q1 to 2026Q4)",Training_Set,0.002439,0.030215,0.665709,0.665097
"RF Model3 (max_depth = 15, max_features = log2, min_samples_leaf = 20, n_estimators = 500 - 2017Q1 to 2026Q4)",Holdout_Set,0.004200,0.038327,0.529670,0.523295
"XGB Model3 (learning_rate = 0.01, max_depth = 3, n_estimators = 100) - 2017Q1 to 2026Q4)",Training_Set,0.003244,0.038162,0.555280,0.554421
"XGB Model3 (learning_rate = 0.01, max_depth = 3, n_estimators = 100) - 2017Q1 to 2026Q4)",Holdout_Set,0.004290,0.042192,0.519596,0.512710
"XGB Model3 (learning_rate = 0.01, max_depth = 3, n_estimators = 300) - 2017Q1 to 2026Q4)",Training_Set,0.002242,0.029603,0.692588,0.691995
"XGB Model3 (learning_rate = 0.01, max_depth = 3, n_estimators = 300) - 2017Q1 to 2026Q4)",Holdout_Set,0.003080,0.033148,0.655060,0.650115
"XGB Model3 (learning_rate = 0.01, max_depth = 3, n_estimators = 500) - 2017Q1 to 2026Q4)",Training_Set,0.002049,0.028360,0.719105,0.718562
"XGB Model3 (learning_rate = 0.01, max_depth = 3, n_estimators = 500) - 2017Q1 to 2026Q4)",Holdout_Set,0.002921,0.032064,0.672854,0.668165
"XGB Model3 (learning_rate = 0.01, max_depth = 5, n_estimators = 100) - 2017Q1 to 2026Q4)",Training_Set,0.002852,0.035889,0.609059,0.608304
"XGB Model3 (learning_rate = 0.01, max_depth = 5, n_estimators = 100) - 2017Q1 to 2026Q4)",Holdout_Set,0.003926,0.040128,0.560355,0.554053
"XGB Model3 (learning_rate = 0.01, max_depth = 5, n_estimators = 300) - 2017Q1 to 2026Q4)",Training_Set,0.001811,0.027248,0.751714,0.751235
"XGB Model3 (learning_rate = 0.01, max_depth = 5, n_estimators = 300) - 2017Q1 to 2026Q4)",Holdout_Set,0.002866,0.031855,0.679074,0.674474
"XGB Model3 (learning_rate = 0.01, max_depth = 5, n_estimators = 500) - 2017Q1 to 2026Q4)",Training_Set,0.001603,0.026034,0.780293,0.779869
"XGB Model3 (learning_rate = 0.01, max_depth = 5, n_estimators = 500) - 2017Q1 to 2026Q4)",Holdout_Set,0.002815,0.031435,0.684723,0.680204
"XGB Model3 (learning_rate = 0.01, max_depth = 7, n_estimators = 100) - 2017Q1 to 2026Q4)",Training_Set,0.002505,0.034379,0.656543,0.655879
"XGB Model3 (learning_rate = 0.01, max_depth = 7, n_estimators = 100) - 2017Q1 to 2026Q4)",Holdout_Set,0.003985,0.039611,0.553797,0.547402
"XGB Model3 (learning_rate = 0.01, max_depth = 7, n_estimators = 300) - 2017Q1 to 2026Q4)",Training_Set,0.001329,0.024641,0.817755,0.817403
"XGB Model3 (learning_rate = 0.01, max_depth = 7, n_estimators = 300) - 2017Q1 to 2026Q4)",Holdout_Set,0.002888,0.031921,0.676564,0.671928
"XGB Model3 (learning_rate = 0.01, max_depth = 7, n_estimators = 500) - 2017Q1 to 2026Q4)",Training_Set,0.001110,0.022917,0.847868,0.847574
"XGB Model3 (learning_rate = 0.01, max_depth = 7, n_estimators = 500) - 2017Q1 to 2026Q4)",Holdout_Set,0.002878,0.031753,0.677706,0.673086
"XGB Model3 (learning_rate = 0.05, max_depth = 3, n_estimators = 100) - 2017Q1 to 2026Q4)",Training_Set,0.002050,0.028358,0.718947,0.718404
"XGB Model3 (learning_rate = 0.05, max_depth = 3, n_estimators = 100) - 2017Q1 to 2026Q4)",Holdout_Set,0.002919,0.032084,0.673129,0.668444
"XGB Model3 (learning_rate = 0.05, max_depth = 3, n_estimators = 300) - 2017Q1 to 2026Q4)",Training_Set,0.001797,0.027037,0.753604,0.753128
"XGB Model3 (learning_rate = 0.05, max_depth = 3, n_estimators = 300) - 2017Q1 to 2026Q4)",Holdout_Set,0.002810,0.031597,0.685385,0.680876
"XGB Model3 (learning_rate = 0.05, max_depth = 3, n_estimators = 500) - 2017Q1 to 2026Q4)",Training_Set,0.001666,0.026474,0.771542,0.771101
"XGB Model3 (learning_rate = 0.05, max_depth = 3, n_estimators = 500) - 2017Q1 to 2026Q4)",Holdout_Set,0.002789,0.031691,0.687726,0.683250
"XGB Model3 (learning_rate = 0.05, max_depth = 5, n_estimators = 100) - 2017Q1 to 2026Q4)",Training_Set,0.001598,0.026020,0.780950,0.780527
"XGB Model3 (learning_rate = 0.05, max_depth = 5, n_estimators = 100) - 2017Q1 to 2026Q4)",Holdout_Set,0.002757,0.031169,0.691226,0.686800
"XGB Model3 (learning_rate = 0.05, max_depth = 5, n_estimators = 300) - 2017Q1 to 2026Q4)",Training_Set,0.001243,0.023924,0.829631,0.829302
"XGB Model3 (learning_rate = 0.05, max_depth = 5, n_estimators = 300) - 2017Q1 to 2026Q4)",Holdout_Set,0.002768,0.031659,0.690015,0.685572
"XGB Model3 (learning_rate = 0.05, max_depth = 5, n_estimators = 500) - 2017Q1 to 2026Q4)",Training_Set,0.001048,0.022495,0.856287,0.856009
"XGB Model3 (learning_rate = 0.05, max_depth = 5, n_estimators = 500) - 2017Q1 to 2026Q4)",Holdout_Set,0.002791,0.031948,0.687417,0.682936
"XGB Model3 (learning_rate = 0.05, max_depth = 7, n_estimators = 100) - 2017Q1 to 2026Q4)",Training_Set,0.001110,0.022915,0.847853,0.847559
"XGB Model3 (learning_rate = 0.05, max_depth = 7, n_estimators = 100) - 2017Q1 to 2026Q4)",Holdout_Set,0.002828,0.031531,0.683325,0.678786
"XGB Model3 (learning_rate = 0.05, max_depth = 7, n_estimators = 300) - 2017Q1 to 2026Q4)",Training_Set,0.000743,0.019317,0.898205,0.898009
"XGB Model3 (learning_rate = 0.05, max_depth = 7, n_estimators = 300) - 2017Q1 to 2026Q4)",Holdout_Set,0.002873,0.032038,0.678260,0.673648
"XGB Model3 (learning_rate = 0.05, max_depth = 7, n_estimators = 500) - 2017Q1 to 2026Q4)",Training_Set,0.000525,0.016424,0.928071,0.927932
"XGB Model3 (learning_rate = 0.05, max_depth = 7, n_estimators = 500) - 2017Q1 to 2026Q4)",Holdout_Set,0.002901,0.032468,0.675100,0.670443
"XGB Model3 (learning_rate = 0.1, max_depth = 3, n_estimators = 100) - 2017Q1 to 2026Q4)",Training_Set,0.001888,0.027475,0.741108,0.740608
"XGB Model3 (learning_rate = 0.1, max_depth = 3, n_estimators = 100) - 2017Q1 to 2026Q4)",Holdout_Set,0.002819,0.031673,0.684305,0.679780
"XGB Model3 (learning_rate = 0.1, max_depth = 3, n_estimators = 300) - 2017Q1 to 2026Q4)",Training_Set,0.001608,0.026213,0.779577,0.779151
"XGB Model3 (learning_rate = 0.1, max_depth = 3, n_estimators = 300) - 2017Q1 to 2026Q4)",Holdout_Set,0.002766,0.031704,0.690301,0.685862
