Date,VIX,SOX,DJIA,IXIC,SP500,FnG
2017-01-18,12.48,922.36,19804.72,5555.65,2271.89,56.0
2017-01-19,12.78,918.03,19732.4,5540.08,2263.69,53.0
2017-01-20,11.54,930.01,19827.25,5555.33,2271.31,54.0
2017-01-23,11.77,923.77,19799.85,5552.94,2265.2,49.0
2017-01-24,11.07,942.41,19912.71,5600.96,2280.07,54.0
2017-01-25,10.81,956.06,20068.51,5656.34,2298.37,62.0
2017-01-26,10.63,950.32,20100.91,5655.18,2296.68,57.0
2017-01-27,10.58,962.26,20093.78,5660.78,2294.69,59.0
2017-01-30,11.88,956.84,19971.13,5613.71,2280.9,53.0
2017-01-31,11.99,944.28,19864.09,5614.79,2278.87,54.0
2017-02-01,11.81,960.11,19890.94,5642.65,2279.55,53.0
2017-02-02,11.93,959.08,19884.91,5636.2,2280.85,51.0
2017-02-03,10.97,964.02,20071.46,5666.77,2297.42,60.0
2017-02-06,11.37,967.39,20052.42,5663.55,2292.56,56.0
2017-02-07,11.29,970.59,20090.29,5674.22,2293.08,56.0
2017-02-08,11.45,972.14,20054.34,5682.45,2294.67,61.0
2017-02-09,10.88,963.81,20172.4,5715.18,2307.87,69.0
2017-02-10,10.85,963.05,20269.37,5734.13,2316.1,69.0
2017-02-13,11.07,965.7,20412.16,5763.96,2328.25,74.0
2017-02-14,10.74,962.63,20504.41,5782.57,2337.58,79.0
2017-02-15,11.97,970.54,20611.86,5819.44,2349.25,80.0
2017-02-16,11.76,971.24,20619.77,5814.9,2347.22,78.0
2017-02-17,11.49,976.8,20624.05,5838.58,2351.16,77.0
2017-02-21,11.57,990.44,20743.0,5865.95,2365.38,83.0
2017-02-22,11.74,990.07,20775.6,5860.63,2362.82,80.0
2017-02-23,11.71,973.87,20810.32,5835.51,2363.81,75.0
2017-02-24,11.47,973.44,20821.76,5845.31,2367.34,68.0
2017-02-27,12.09,982.4,20837.44,5861.9,2369.75,71.0
2017-02-28,12.92,969.38,20812.24,5825.44,2363.64,64.0
2017-03-01,12.54,985.26,21115.55,5904.03,2395.96,81.0
2017-03-02,11.81,974.33,21002.97,5861.22,2381.92,75.0
2017-03-03,10.96,973.97,21005.71,5870.75,2383.12,74.0
2017-03-06,11.24,974.18,20954.34,5849.17,2375.31,69.0
2017-03-07,11.45,976.85,20924.76,5833.93,2368.39,70.0
2017-03-08,11.86,979.0,20855.73,5837.55,2362.98,62.0
2017-03-09,12.3,980.48,20858.19,5838.81,2364.87,62.0
2017-03-10,11.66,991.93,20902.98,5861.73,2372.6,66.0
2017-03-13,11.35,999.39,20881.48,5875.78,2373.47,64.0
2017-03-14,12.3,996.33,20837.37,5856.82,2365.45,51.0
2017-03-15,11.63,1004.65,20950.1,5900.05,2385.26,53.0
2017-03-16,11.21,1002.81,20934.55,5900.76,2381.38,51.0
2017-03-17,11.28,1004.6,20914.62,5901.0,2378.25,45.0
2017-03-20,11.34,1012.29,20905.86,5901.53,2373.47,42.0
2017-03-21,12.47,988.42,20668.01,5793.83,2344.02,36.0
2017-03-22,12.81,999.34,20661.3,5821.64,2348.45,32.0
2017-03-23,13.12,996.85,20656.58,5817.69,2345.96,30.0
2017-03-24,12.96,1004.35,20596.72,5828.74,2343.98,30.0
2017-03-27,12.5,1005.95,20550.98,5840.37,2341.59,29.0
2017-03-28,11.53,1008.97,20701.5,5875.14,2358.57,34.0
2017-03-29,11.42,1006.49,20659.32,5897.55,2361.13,34.0
2017-03-30,11.54,1011.81,20728.49,5914.34,2368.06,43.0
2017-03-31,12.37,1011.4,20663.22,5911.74,2362.72,47.0
2017-04-03,12.38,1005.8,20650.21,5894.68,2358.84,46.0
2017-04-04,11.79,1000.48,20689.24,5898.61,2360.16,46.0
2017-04-05,12.89,993.53,20648.15,5864.48,2352.95,43.0
2017-04-06,12.39,994.69,20662.95,5878.95,2357.49,43.0
2017-04-07,12.87,999.35,20656.1,5877.81,2355.54,40.0
2017-04-10,14.05,991.62,20658.02,5880.93,2357.16,37.0
2017-04-11,15.07,983.34,20651.3,5866.77,2353.78,31.0
2017-04-12,15.77,966.55,20591.86,5836.16,2344.93,28.0
2017-04-13,15.96,960.01,20453.25,5805.15,2328.95,25.0
2017-04-17,14.66,972.56,20636.92,5856.79,2349.01,30.0
2017-04-18,14.42,976.67,20523.28,5849.47,2342.19,30.0
2017-04-19,14.93,982.05,20404.49,5863.03,2338.17,30.0
2017-04-20,14.15,997.55,20578.71,5916.78,2355.84,34.0
2017-04-21,14.63,992.94,20547.76,5910.52,2348.69,35.0
2017-04-24,10.84,1007.8,20763.89,5983.82,2374.15,39.0
2017-04-25,10.76,1017.81,20996.12,6025.49,2388.61,46.0
2017-04-26,10.85,1009.16,20975.09,6025.23,2387.45,48.0
2017-04-27,10.36,1023.29,20981.33,6048.94,2388.77,50.0
2017-04-28,10.82,1005.53,20940.51,6047.61,2384.2,50.0
2017-05-01,10.11,1015.43,20913.46,6091.6,2388.33,49.0
2017-05-02,10.59,1004.62,20949.89,6095.37,2391.17,51.0
2017-05-03,10.68,1008.05,20957.9,6072.55,2388.13,47.0
2017-05-04,10.46,1006.83,20951.47,6075.34,2389.52,45.0
2017-05-05,10.57,1011.03,21006.94,6100.76,2399.29,47.0
2017-05-08,9.77,1007.16,21012.28,6102.66,2399.38,49.0
2017-05-09,9.96,1017.5,20975.78,6120.59,2396.92,50.0
2017-05-10,10.21,1038.92,20943.11,6129.14,2399.63,61.0
2017-05-11,10.6,1042.43,20919.42,6115.96,2394.44,63.0
2017-05-12,10.4,1045.24,20896.61,6121.23,2390.9,62.0
2017-05-15,10.42,1061.05,20981.94,6149.67,2402.32,64.0
2017-05-16,10.65,1076.85,20979.75,6169.87,2400.67,66.0
2017-05-17,15.59,1029.83,20606.93,6011.24,2357.03,45.0
2017-05-18,14.66,1049.29,20663.02,6055.13,2365.72,43.0
2017-05-19,12.04,1060.77,20804.84,6083.7,2381.73,49.0
2017-05-22,10.93,1072.3,20894.83,6133.62,2394.02,50.0
2017-05-23,10.72,1067.94,20937.91,6138.71,2398.42,45.0
2017-05-24,10.02,1074.85,21012.42,6163.02,2404.39,54.0
2017-05-25,9.99,1080.75,21082.95,6205.26,2415.07,57.0
2017-05-26,9.81,1084.85,21080.28,6210.19,2415.82,58.0
2017-05-30,10.38,1091.45,21029.47,6203.19,2412.91,53.0
2017-05-31,10.41,1091.42,21008.65,6198.52,2411.8,50.0
2017-06-01,9.89,1092.55,21144.18,6246.83,2430.06,58.0
2017-06-02,9.75,1103.4,21206.29,6305.8,2439.07,57.0
2017-06-05,10.07,1106.22,21184.04,6295.68,2436.1,58.0
2017-06-06,10.45,1110.08,21136.23,6275.06,2429.33,55.0
2017-06-07,10.39,1118.3,21173.69,6297.38,2433.14,55.0
2017-06-08,10.16,1138.25,21182.53,6321.76,2433.79,55.0
2017-06-09,10.7,1090.05,21271.97,6207.92,2431.77,54.0
2017-06-12,11.46,1084.44,21235.67,6175.46,2429.39,55.0
2017-06-13,10.42,1091.35,21328.47,6220.37,2440.35,55.0
2017-06-14,10.64,1079.82,21374.56,6194.89,2437.92,52.0
2017-06-15,10.9,1070.76,21359.9,6165.5,2432.46,52.0
2017-06-16,10.38,1067.23,21384.28,6151.76,2433.15,50.0
2017-06-19,10.37,1087.92,21528.99,6239.01,2453.46,57.0
2017-06-20,10.86,1074.88,21467.14,6188.03,2437.03,48.0
2017-06-21,10.75,1087.42,21410.03,6233.95,2435.61,42.0
2017-06-22,10.48,1084.96,21397.29,6236.69,2434.5,50.0
2017-06-23,10.02,1088.48,21394.76,6265.25,2438.3,52.0
2017-06-26,9.9,1077.92,21409.55,6247.15,2439.07,53.0
2017-06-27,11.06,1048.66,21310.66,6146.62,2419.38,48.0
2017-06-28,10.03,1067.18,21454.61,6234.41,2440.69,60.0
2017-06-29,11.44,1040.42,21287.03,6144.35,2419.7,47.0
2017-06-30,11.18,1034.91,21349.63,6140.42,2423.41,49.0
2017-07-03,11.22,1020.51,21479.27,6110.06,2429.01,54.0
2017-07-05,11.07,1041.78,21478.17,6150.86,2432.54,57.0
2017-07-06,12.54,1037.05,21320.04,6089.46,2409.75,44.0
