Algorithm,Model,Dataset,Parameters,MSE,MAE,R-Squared,Adj-R-Squared
RF,Model 1,Training Set,"max_depth = 5, max_features = 1.0, min_samples_leaf = 5, n_estimators = 300",0.021230,0.080885,0.447528,0.446323
RF,Model 1,Training Set,"max_depth = 5, max_features = 1.0, min_samples_leaf = 5, n_estimators = 500",0.021249,0.080860,0.447041,0.445834
RF,Model 1,Training Set,"max_depth = 5, max_features = log2, min_samples_leaf = 10, n_estimators = 100",0.027506,0.089369,0.284208,0.282646
RF,Model 1,Training Set,"max_depth = 5, max_features = log2, min_samples_leaf = 10, n_estimators = 300",0.027322,0.089261,0.288993,0.287442
RF,Model 1,Training Set,"max_depth = 5, max_features = log2, min_samples_leaf = 10, n_estimators = 500",0.027247,0.089032,0.290963,0.289416
RF,Model 1,Training Set,"max_depth = 5, max_features = log2, min_samples_leaf = 20, n_estimators = 100",0.028028,0.089662,0.270619,0.269028
RF,Model 1,Training Set,"max_depth = 5, max_features = log2, min_samples_leaf = 20, n_estimators = 300",0.027698,0.089341,0.279211,0.277638
RF,Model 1,Training Set,"max_depth = 5, max_features = log2, min_samples_leaf = 20, n_estimators = 500",0.027644,0.089200,0.280629,0.279059
RF,Model 1,Training Set,"max_depth = 5, max_features = log2, min_samples_leaf = 5, n_estimators = 100",0.027039,0.089149,0.296369,0.294833
RF,Model 1,Training Set,"max_depth = 5, max_features = log2, min_samples_leaf = 5, n_estimators = 300",0.026987,0.089246,0.297712,0.296180
RF,Model 1,Training Set,"max_depth = 5, max_features = log2, min_samples_leaf = 5, n_estimators = 500",0.026883,0.089033,0.300418,0.298892
RF,Model 1,Training Set,"max_depth = 5, max_features = sqrt, min_samples_leaf = 10, n_estimators = 100",0.026599,0.087977,0.307827,0.306317
RF,Model 1,Training Set,"max_depth = 5, max_features = sqrt, min_samples_leaf = 10, n_estimators = 300",0.026393,0.087607,0.313171,0.311672
RF,Model 1,Training Set,"max_depth = 5, max_features = sqrt, min_samples_leaf = 10, n_estimators = 500",0.026344,0.087501,0.314456,0.312960
RF,Model 1,Training Set,"max_depth = 5, max_features = sqrt, min_samples_leaf = 20, n_estimators = 100",0.026853,0.087928,0.301196,0.299672
RF,Model 1,Training Set,"max_depth = 5, max_features = sqrt, min_samples_leaf = 20, n_estimators = 300",0.026789,0.087732,0.302876,0.301355
RF,Model 1,Training Set,"max_depth = 5, max_features = sqrt, min_samples_leaf = 20, n_estimators = 500",0.026693,0.087550,0.305376,0.303860
RF,Model 1,Training Set,"max_depth = 5, max_features = sqrt, min_samples_leaf = 5, n_estimators = 100",0.025947,0.088031,0.324787,0.323314
RF,Model 1,Training Set,"max_depth = 5, max_features = sqrt, min_samples_leaf = 5, n_estimators = 300",0.025922,0.087781,0.325424,0.323952
RF,Model 1,Training Set,"max_depth = 5, max_features = sqrt, min_samples_leaf = 5, n_estimators = 500",0.025794,0.087523,0.328760,0.327296
RF,Model 2,Holdout Set,"max_depth = 10, max_features = 1.0, min_samples_leaf = 10, n_estimators = 100",0.021159,0.099420,0.308765,0.297574
RF,Model 2,Holdout Set,"max_depth = 10, max_features = 1.0, min_samples_leaf = 10, n_estimators = 300",0.021263,0.099457,0.305354,0.294107
RF,Model 2,Holdout Set,"max_depth = 10, max_features = 1.0, min_samples_leaf = 10, n_estimators = 500",0.021208,0.099213,0.307168,0.295951
RF,Model 2,Holdout Set,"max_depth = 10, max_features = 1.0, min_samples_leaf = 20, n_estimators = 100",0.021193,0.099177,0.307638,0.296428
RF,Model 2,Holdout Set,"max_depth = 10, max_features = 1.0, min_samples_leaf = 20, n_estimators = 300",0.021168,0.099009,0.308479,0.297283
RF,Model 2,Holdout Set,"max_depth = 10, max_features = 1.0, min_samples_leaf = 20, n_estimators = 500",0.021198,0.098909,0.307482,0.296270
RF,Model 2,Holdout Set,"max_depth = 10, max_features = 1.0, min_samples_leaf = 5, n_estimators = 100",0.021679,0.100088,0.291772,0.280305
RF,Model 2,Holdout Set,"max_depth = 10, max_features = 1.0, min_samples_leaf = 5, n_estimators = 300",0.021662,0.099889,0.292332,0.280875
