Algorithm,Model,Parameters,Rank,Feature,Importance,Cumulative_Importance
RF,Model 1,"max_depth = 5, max_features = sqrt, min_samples_leaf = 5, n_estimators = 500",8,DJIA_QoQ,0.027026564533755956,0.7086131444965863
RF,Model 1,"max_depth = 5, max_features = sqrt, min_samples_leaf = 5, n_estimators = 500",9,Last3mCumulativeRevenue_last1,0.02509109331091338,0.7337042378074997
RF,Model 1,"max_depth = 5, max_features = sqrt, min_samples_leaf = 5, n_estimators = 500",10,SP500_QoQ,0.023245316049568244,0.756949553857068
RF,Model 1,"max_depth = 5, max_features = sqrt, min_samples_leaf = 5, n_estimators = 500",11,ROE_last1,0.021050291144101296,0.7779998450011693
RF,Model 1,"max_depth = 5, max_features = sqrt, min_samples_leaf = 5, n_estimators = 500",12,IXIC_QoQ,0.016351493079026367,0.7943513380801956
RF,Model 1,"max_depth = 5, max_features = sqrt, min_samples_leaf = 5, n_estimators = 500",13,EPS_last1,0.014928893523161724,0.8092802316033574
RF,Model 1,"max_depth = 5, max_features = sqrt, min_samples_leaf = 5, n_estimators = 500",14,FnG_QoQ_Lag2,0.013575847899211055,0.8228560795025684
RF,Model 1,"max_depth = 5, max_features = sqrt, min_samples_leaf = 5, n_estimators = 500",15,VIX_QoQ_Lag2,0.01316428084160835,0.8360203603441768
RF,Model 1,"max_depth = 5, max_features = sqrt, min_samples_leaf = 5, n_estimators = 500",16,ROA_last1,0.01218232315090109,0.8482026834950779
RF,Model 1,"max_depth = 5, max_features = sqrt, min_samples_leaf = 5, n_estimators = 500",17,QuarterlyReturn_Lag3,0.011551047628022145,0.8597537311231
RF,Model 1,"max_depth = 5, max_features = sqrt, min_samples_leaf = 5, n_estimators = 500",18,VIX_QoQ_Lag1,0.010187334848821143,0.8699410659719212
RF,Model 1,"max_depth = 5, max_features = sqrt, min_samples_leaf = 5, n_estimators = 500",19,Last3mCumulativeRevenueGrowthRate_last1,0.010139126227598749,0.8800801921995199
RF,Model 1,"max_depth = 5, max_features = sqrt, min_samples_leaf = 5, n_estimators = 500",20,VIX_QoQ_Lag3,0.008643372791789068,0.888723564991309
RF,Model 1,"max_depth = 5, max_features = sqrt, min_samples_leaf = 10, n_estimators = 100",1,Spread_cur,0.3631963803014629,0.3631963803014629
RF,Model 1,"max_depth = 5, max_features = sqrt, min_samples_leaf = 10, n_estimators = 100",2,TradingTurnover_cur,0.07672249304727846,0.43991887334874136
RF,Model 1,"max_depth = 5, max_features = sqrt, min_samples_leaf = 10, n_estimators = 100",3,TradingVolume_cur,0.06799619931451113,0.5079150726632525
RF,Model 1,"max_depth = 5, max_features = sqrt, min_samples_leaf = 10, n_estimators = 100",4,TradingMoney_cur,0.06301496650477023,0.5709300391680228
