Algorithm,Model,Dataset,Parameters,MSE,MAE,R-Squared,Adj-R-Squared
RF,Model 1,Holdout Set,"max_depth = 15, max_features = 1.0, min_samples_leaf = 5, n_estimators = 500",0.019500,0.093504,0.362958,0.354440
RF,Model 1,Holdout Set,"max_depth = 15, max_features = log2, min_samples_leaf = 10, n_estimators = 100",0.019717,0.090902,0.355865,0.347253
RF,Model 1,Holdout Set,"max_depth = 15, max_features = log2, min_samples_leaf = 10, n_estimators = 300",0.019948,0.091323,0.348313,0.339600
RF,Model 1,Holdout Set,"max_depth = 15, max_features = log2, min_samples_leaf = 10, n_estimators = 500",0.019896,0.091103,0.350015,0.341325
RF,Model 1,Holdout Set,"max_depth = 15, max_features = log2, min_samples_leaf = 20, n_estimators = 100",0.020588,0.093065,0.327430,0.318437
RF,Model 1,Holdout Set,"max_depth = 15, max_features = log2, min_samples_leaf = 20, n_estimators = 300",0.020597,0.092841,0.327129,0.318132
RF,Model 1,Holdout Set,"max_depth = 15, max_features = log2, min_samples_leaf = 20, n_estimators = 500",0.020469,0.092616,0.331317,0.322377
RF,Model 1,Holdout Set,"max_depth = 15, max_features = log2, min_samples_leaf = 5, n_estimators = 100",0.019746,0.091140,0.354935,0.346310
RF,Model 1,Holdout Set,"max_depth = 15, max_features = log2, min_samples_leaf = 5, n_estimators = 300",0.019718,0.091033,0.355822,0.347210
RF,Model 1,Holdout Set,"max_depth = 15, max_features = log2, min_samples_leaf = 5, n_estimators = 500",0.019671,0.090853,0.357359,0.348767
RF,Model 1,Holdout Set,"max_depth = 15, max_features = sqrt, min_samples_leaf = 10, n_estimators = 100",0.018824,0.089717,0.385039,0.376817
RF,Model 1,Holdout Set,"max_depth = 15, max_features = sqrt, min_samples_leaf = 10, n_estimators = 300",0.018794,0.089551,0.386009,0.377799
RF,Model 1,Holdout Set,"max_depth = 15, max_features = sqrt, min_samples_leaf = 10, n_estimators = 500",0.018824,0.089446,0.385032,0.376810
RF,Model 1,Holdout Set,"max_depth = 15, max_features = sqrt, min_samples_leaf = 20, n_estimators = 100",0.019277,0.090567,0.370229,0.361809
RF,Model 1,Holdout Set,"max_depth = 15, max_features = sqrt, min_samples_leaf = 20, n_estimators = 300",0.019278,0.090576,0.370211,0.361790
RF,Model 1,Holdout Set,"max_depth = 15, max_features = sqrt, min_samples_leaf = 20, n_estimators = 500",0.019179,0.090360,0.373456,0.365079
